Name,Constellation,HD
Zeta Boötis,Boötes,129247
Alpha Canis Majoris,Canis Major,48915
Alnair,Centaurus,121263
Delta Cephei,Cepheus,213306
Xi Cephei,Cepheus,209790
Beta Cygni,Cygnus,183912
Gamma Delphini,Delphinus,197963
Nu Draconis,Draco,159560
Alpha Geminorum,Gemini,60178
Nu Geminorum,Gemini,45542
Alnair,Grus,209952
Kappa Herculis,Hercules,145001
Gamma Leonis,Leo,89484
Alpha Librae,Libra,130819
Zeta Lyrae,Lyra,173648
Epsilon Lyrae,Lyra,173607
Beta Monocerotis,Monoceros,45725
Zeta Orionis,Orion,37742
Delta Orionis,Orion,36486
Lambda Orionis,Orion,36861
Sigma Orionis,Orion,37468
Gamma Persei,Perseus,18925
Tau Persei,Perseus,17878
Theta Tauri,Taurus,28307
Beta Tucanae,Tucana,3003
Psi Velorum,Vela,86440
Gamma Volantis,Volans,55864
Epsilon Cygni,Cygnus,197989
10 Ursae Majoris,Lynx,76943
Iota Cancri,Cancer,74739
Beta Tauri,Auriga,35497
Alpha Crateris,Hydra,95272
Beta Crateris,Hydra,97277
