Name,Region,Genitive,Abbreviation
Andromeda,Northern,Andromedae,And
Antlia,Southern,Antilae,Ant
Apus,Southern,Apodis,Aps
Aquarius,Equatorial,Aquarii,Aqr
Aquila,Equatorial,Aquilae,Aql
Ara,Southern,Arae,Ara
Aries,Northern,Arietis,Ari
Auriga,Northern,Aurigae,Aur
Boötes,Northern,Boötis,Boo
Caelum,Southern,Caeli,Cae
Camelopardalis,Northern,Camelopardalis,Cam
Cancer,Northern,Cancri,Cnc
Canes Venatici,Northern,Canum Venaticorum,CVn
Canis Major,Southern,Canis Majoris,CMa
Canis Minor,Southern,Canis Minoris,CMi
Capricornus,Southern,Capricorni,Cap
Carina,Southern,Carinae,Car
Cassiopeia,Northern,Cassiopeiae,Cas
Centaurus,Southern,Centauri,Cen
Cepheus,Northern,Cephei,Cep
Cetus,Equatorial,Ceti,Cet
Chamaeleon,Southern,Chamaeleontis,Cha
Circinus,Southern,Circini,Cir
Columba,Southern,Columbae,Col
Coma Berenices,Northern,Comae Berenices,Com
Corona Australis,Southern,Coronae Australis,CrA
Corona Borealis,Northern,Coronae Borealis,CrB
Corvus,Southern,Corvi,Crv
Crater,Southern,Crateris,Crt
Crux,Southern,Crucis,Cru
Cygnus,Northern,Cygni,Cyg
Delphinus,Northern,Delphini,Del
Dorado,Southern,Doradus,Dor
Draco,Northern,Draconis,Dra
Equuleus,Northern,Equulei,Equ
Eridanus,Equatorial,Eridani,Eri
Fornax,Southern,Fornacis,For
Gemini,Northern,Geminorum,Gem
Grus,Southern,Gruis,Gru
Hercules,Northern,Herculis,Her
Horologium,Southern,Horologii,Hor
Hydra,Equatorial,Hydrae,Hya
Hydrus,Southern,Hydri,Hyi
Indus,Southern,Indi,Ind
Lacerta,Northern,Lacertae,Lac
Leo,Northern,Leonis,Leo
Leo Minor,Northern,Leonis Minoris,LMi
Lepus,Southern,Leporus,Lep
Libra,Southern,Librae,Lib
Lupus,Southern,Lupi,Lup
Lynx,Northern,Lyncis,Lyn
Lyra,Northern,Lyrae,Lyr
Mensa,Southern,Mensae,Men
Microscopium,Southern,Microscopii,Mic
Monoceros,Equatorial,Monocerotis,Mon
Musca,Southern,Muscae,Mus
Norma,Southern,Normae,Nor
Octans,Southern,Octantis,Oct
Ophiuchus,Equatorial,Ophiuchi,Oph
Orion,Equatorial,Orionis,Ori
Pavo,Southern,Pavonis,Pav
Pegasus,Northern,Pegasi,Peg
Perseus,Northern,Persei,Per
Phoenix,Southern,Phoenicis,Phe
Pictor,Southern,Pictoris,Pic
Pisces,Equatorial,Piscium,Psc
Piscis Austrinus,Southern,Piscis Austrini,PsA
Puppis,Southern,Puppis,Pup
Pyxis,Southern,Pyxidis,Pyx
Reticulum,Southern,Reticuli,Ret
Sagitta,Northern,Sagittae,Sge
Sagittarius,Equatorial,Sagittarii,Sgr
Scorpius,Southern,Scorpii,Sco
Sculptor,Southern,Sculptoris,Scl
Scutum,Southern,Scuti,Sct
Serpens,Equatorial,Serpentis,Ser
Sextans,Equatorial,Sextantis,Sex
Taurus,Equatorial,Tauri,Tau
Telescopium,Southern,Telescopii,Tel
Triangulum,Northern,Trianguli,Tri
Triangulum Australe,Southern,Triangulum Australis,TrA
Tucana,Southern,Tucanae,Tuc
Ursa Major,Northern,Ursae Majoris,UMa
Ursa Minor,Northern,Ursae Minoris,UMi
Vela,Southern,Velorum,Vel
Virgo,Equatorial,Virginis,Vir
Volans,Southern,Volantis,Vol
Vulpecula,Northern,Vulpeculae,Vul
